source,target,weight,likes_totales,tipo_arista
UCBlm80VQ4YoV3bUJR_XhkaQ,OkXlHx0hx-8,2,0,autor_comento_video
UCBtB5dIyx-C16UN8ClUD2UA,is3Mk5oC19g,1,0,autor_comento_video
UCCBYcToQ2dwkd6TJh0FSyDg,j43HgwYFKfk,1,0,autor_comento_video
UCCUmP4PlbwgikVFpYwbtRTg,yLZS3JiEBg8,1,3,autor_comento_video
UCCaYwkkbQGcvFoUmothVdQQ,n8iP75gIpmw,1,0,autor_comento_video
UCDIMztpVm7G27qBuiWuT6oQ,n8iP75gIpmw,1,0,autor_comento_video
UCDPWkUX3sNNaCx-m1dV4glA,n8iP75gIpmw,1,0,autor_comento_video
UCDQaQv0hr2SS_PO-CMEwVHg,n8iP75gIpmw,1,1,autor_comento_video
UCDUffaruH6dyUnUGwsTKpgg,n8iP75gIpmw,1,2,autor_comento_video
UCDftMWXQoJ6nONfY7GVOVjg,n8iP75gIpmw,1,0,autor_comento_video
UCDlr1VadSucIZgZ171pRBjQ,n8iP75gIpmw,1,0,autor_comento_video
UCDrmf9y9nLgFY5wnA2hTuGA,j43HgwYFKfk,1,1,autor_comento_video
UCEHXl4VvvVpq-_4xC5tsbhg,6W4u8sGEnGM,1,7,autor_comento_video
UCEgEQmRbtL5fwr9_DqAC--g,n8iP75gIpmw,1,2,autor_comento_video
UCErZPJpHmLCsXs8ZWkAUupQ,n8iP75gIpmw,1,2,autor_comento_video
UCFFrEmn6lPYiWyElpfzTy5Q,is3Mk5oC19g,1,0,autor_comento_video
UCFOxCyF926Y9eHhMeVoWLzw,lj983NWyAQY,1,3,autor_comento_video
UCFUuDARXdmmIrLppEqf-rFg,n8iP75gIpmw,1,0,autor_comento_video
UCFhxtoeARHPnXXPcDrOU3Xg,n8iP75gIpmw,1,2,autor_comento_video
UCFjudnPLoaSL1BaRuLahyHg,n8iP75gIpmw,3,3,autor_comento_video
UCFoIAE8k82D6AV-8gjjKaNg,n8iP75gIpmw,1,1,autor_comento_video
UCFxE8GbokBrBsPEKM1xrOjQ,n8iP75gIpmw,1,10,autor_comento_video
UCFybmWapGvBKcQod7cPPH9w,6W4u8sGEnGM,1,1,autor_comento_video
UCGGHbtfbbe0o68etrOf0qxw,j43HgwYFKfk,1,0,autor_comento_video
UCGX_UbAQOXGZknv5iqklwTA,PjmxCj-a9Hg,1,1,autor_comento_video
UCGZMgmM92E3njyXNe9-kjAQ,OkXlHx0hx-8,1,2,autor_comento_video
UCGj2v6Gl5bN8NSrzJMXS-CA,WIUZtitfLRw,1,0,autor_comento_video
UCGm3gRBEHGRJYmtCryZLtDw,b_Hkrkl3adA,1,0,autor_comento_video
UCGqKxQS-z3NZzZF-2w338AA,lj983NWyAQY,1,211,autor_comento_video
UCGzXwyCzMzGmjmCbH3Hg01Q,n8iP75gIpmw,1,2,autor_comento_video
UCHGd14aYuZZShLD73dkk6mg,JkpVO1hx2f8,1,0,autor_comento_video
UCHMQ_lDhibZ-XZ_3fo6oxwg,lj983NWyAQY,1,16,autor_comento_video
UCHTGCgY2l-DQJIvlA_cpa_Q,PjmxCj-a9Hg,1,1,autor_comento_video
UCHTGCgY2l-DQJIvlA_cpa_Q,n8iP75gIpmw,2,13,autor_comento_video
UCHbwIx9pmQuf7i-4_xO2EpA,j43HgwYFKfk,1,0,autor_comento_video
UCHhHUjaMAZ8SiXdCUCj9DkQ,n8iP75gIpmw,2,3,autor_comento_video
UCHu8x4MVkayU6VgwVKd--MQ,b_Hkrkl3adA,1,1,autor_comento_video
UCIUhbSCy3-SGRe5UtqM4fzQ,lj983NWyAQY,1,1,autor_comento_video
UCIXLDYqR_syskKRJy_x9W9Q,06mFNPU0aB8,1,0,autor_comento_video
UCIgoiXdIKJyUGmUoH2Lxdzg,OkXlHx0hx-8,1,3,autor_comento_video
UCIp19h9igblA2YKfSLPDAug,lj983NWyAQY,1,14,autor_comento_video
UCJp3OrVYcBorC94sKwdch_A,ndAZjHqzzT8,1,0,autor_comento_video
UCJxJC56BSAX-ArD0NAb9qnQ,3Nfp9h5avBI,1,0,autor_comento_video
UCKDR0f2fu2UzWL8mBv5-BHw,n8iP75gIpmw,1,0,autor_comento_video
UCKVzDUqbtdSMBcexaEtMmzQ,TT4qJ5FXHYE,1,0,autor_comento_video
UCL13XhnRzbGokEkCkEOb0-g,n8iP75gIpmw,2,8,autor_comento_video
UCL1MT278vSaQ83ZDkVWn1gw,n8iP75gIpmw,1,20,autor_comento_video
UCLFdHr9BEbXHkoJopbEPLZw,n8iP75gIpmw,2,24,autor_comento_video
UCLXYp1Cvc5DLtq5UQL5D9vw,06mFNPU0aB8,1,3,autor_comento_video
UCLggDc_a5HriXv7I1h02sOA,n8iP75gIpmw,2,7,autor_comento_video
UCLh1Kde4_vI1sTZBkTNP7RQ,is3Mk5oC19g,1,0,autor_comento_video
UCN2N_wYOw6fMwCeSzdXLPIw,PjmxCj-a9Hg,1,0,autor_comento_video
UCN6qbfPSzFtjhqUDZ3Cv3CQ,n8iP75gIpmw,1,2,autor_comento_video
UCNBnKqWf4d-rS4HwJRQljmQ,n8iP75gIpmw,2,1,autor_comento_video
UCNIeXbV_mEwpa412h1aqUWw,PjmxCj-a9Hg,3,3,autor_comento_video
UCNiMNUJvaRJb0_QLClqwVnA,TT4qJ5FXHYE,1,2,autor_comento_video
UCNkcuy42zEwddwEcOd_HpnA,n8iP75gIpmw,1,3,autor_comento_video
UCNpt5CQlTzNjlAKY6CJtClQ,j43HgwYFKfk,1,0,autor_comento_video
UCO0zwwLWGyDgQmWPJ5Qrr1w,06mFNPU0aB8,1,3,autor_comento_video
UCOARn3hnfkB7-_Rwa8Hoqcw,WIUZtitfLRw,1,0,autor_comento_video
UCOLGv5Pf6BF2wFcwUzgcvHg,n8iP75gIpmw,2,4,autor_comento_video
UCOLHH4ZpMxPYF-Q6e6wvn5A,OkXlHx0hx-8,1,2,autor_comento_video
UCOS8ViEkccrTZx2w2ccxotA,n8iP75gIpmw,1,4,autor_comento_video
UCOY3XpD9qMCRSA8AA8c4CAw,yLZS3JiEBg8,1,1,autor_comento_video
UCOcUI5XkTYNMSFhZNMIPpGg,j43HgwYFKfk,1,3,autor_comento_video
UCOh6DaZC_x9HASnlRylEMfw,n8iP75gIpmw,1,0,autor_comento_video
UCPLW0HE3siElqCgXfgWxMqg,X_FAIef8qlE,1,0,autor_comento_video
UCPNXmbOBVeC4HS-xemvcPtQ,OkXlHx0hx-8,1,2,autor_comento_video
UCPZueDLrCS4BmTBRMA4q0fA,PjmxCj-a9Hg,1,1,autor_comento_video
UCQIdKuZ-OzuFqy0KjGrgesg,JkpVO1hx2f8,1,1,autor_comento_video
UCQM2tCKRRytVDRxNUfCDqQQ,zweosulrwA8,1,0,autor_comento_video
UCQMMuADgqWUOcJpLwHOzC-g,OkXlHx0hx-8,1,0,autor_comento_video
UCQ_-LPP8JAbfkc-b1Q6NvWw,n8iP75gIpmw,2,31,autor_comento_video
